scope,method,method_name,n_total,n_valid,coverage,tp,tn,fp,fn,precision,recall,f1,mcc,accuracy,success,no_candidate,parse_failed
<100,direct,直接 Qwen,15,15,1.0,8,6,1,0,0.8889,1.0,0.9412,0.8729,0.9333,15,0,0
<100,fixed_rule,固定规则 balance/call,15,15,1.0,5,7,0,3,1.0,0.625,0.7692,0.6614,0.8,14,1,0
<100,llm_keyword,LLM keyword 检测,15,15,1.0,8,7,0,0,1.0,1.0,1.0,1.0,1.0,14,1,0
100-300,direct,直接 Qwen,15,15,1.0,3,3,7,2,0.3,0.6,0.4,-0.1,0.4,15,0,0
100-300,fixed_rule,固定规则 balance/call,15,15,1.0,1,10,0,4,1.0,0.2,0.3333,0.378,0.7333,15,0,0
100-300,llm_keyword,LLM keyword 检测,15,14,0.9333,2,7,2,3,0.5,0.4,0.4444,0.1886,0.6429,14,0,1
>300,direct,直接 Qwen,20,19,0.95,7,5,3,4,0.7,0.6364,0.6667,0.2584,0.6316,19,0,1
>300,fixed_rule,固定规则 balance/call,20,20,1.0,0,8,0,12,0.0,0.0,0.0,0.0,0.4,20,0,0
>300,llm_keyword,LLM keyword 检测,20,20,1.0,2,7,1,10,0.6667,0.1667,0.2667,0.0572,0.45,19,1,0
